"Brand Information","гандлёвая марка"
"Page Title","Назва старонкі"
"If empty, option label by store will be used.","Калі пуста, будзе выкарыстоўвацца варыянт этыкеткі ў краме."
"Url Key","Url Key"
"Brand Image","Марка выява"
"If empty, option visual image or default image from configuration will be used.","Калі пуста, будзе выкарыстоўвацца опцыя візуальнага малюнка або малюнка па змаўчанні з канфігурацыі."
"Featured","Рэкамендаваны"
"Enabled","уключана"
"Disabled","інвалід"
"If 'Enabled', this brand will be displayed on featured brand slider.","Калі гэты параметр уключаны, гэты брэнд будзе адлюстроўвацца на прыкметах слайдэр маркі."
"Short Description","кароткае апісанне"
"Description","апісанне"
"CMS Block","CMS Block"
"Meta Information","мета інфармацыя"
"Meta Title","Meta Title"
"Meta Keywords","Мета ключавыя словы"
"Meta Description","Meta Description"
"Home","дома"
"Go to Home Page","Перайсці на галоўную старонку"
"Brands","брэнды"
"Brand option has been saved successfully.","Опцыя Марка была паспяхова захавана."
"Attribute option does not exist.","Опцыя Навык не існуе."
"-- Please select --","- Калі ласка, вызначце -"
"Toplink","Toplink"
"Footerlink","Footerlink"
"Category","катэгорыя"
"Logo Only","лагатып толькі"
"Logo and Label","Лагатып і этыкетка"
"-- Please Select --","- Выберыце -"
"There is no sample file for this entity.","Там няма прыкладу файла для гэтага аб'екта."
"Sort Option","сартаваць Варыянт"
"Setting","налада"
"Delete","выдаляць"
"Choose a color","Вылучыце колер"
"Upload a file","Назвы пад аховай"
"Clear","ясна"
"All","усе"
"label' 'char","ярлык »« сімвал"
"There is no brand available.","Там няма брэнда даступныя."
"Search a brand name","выберыце марку"
"Search","пошук"
"Brand Configuration","канфігурацыя Марка"
"Save","захаваць"
"Cancel","адмяніць"
"Shop by brand","Крама па брэндах"
"General","агульны"
"Enable","ўключыць"
"Brand Attribute","Марка Навык"
"Brand Link Title","Марка Лінк цітламі"
"Show Brand Link In","Паказаць Марк Спасылку У"
"All Brands Page Settings","Усе налады Brands Page"
"Brand route","Марка маршрут"
"Brand list name","Фірменнае назва спісу"
"Display Option","варыянты дысплея"
"Style Color","стыль Колер"
"Show Brand Description","Паказаць Марк Апісанне"
"Brand Search Settings","Марка Налады пошуку"
"Show Search Block","Паказаць Блок пошуку"
"Min chars","мінімум сімвалаў"
"Maximum Query Result","Максімальны вынік запыту"
"Visible Image","бачнае малюнак"
"Featured Brand Settings","Рэкамендаваны налады брэнда"
"Show Featured Brands","Паказаць Папулярныя брэнды"
"Title","тытульны"
"Display Information","адлюстраванне інфармацыі"
"Embedded Code","Убудаваны код"
"Default Image","Па змаўчанні малюнак"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Па змаўчанні малюнак для брэнда. Калі пуста, то малюнак прадукту запаўняльнік па змаўчанні будзе used.<br /> (JPG, JPEG, GIF, PNG)"
"Default Block","Па змаўчанні Блок"
"Show Brand Image On Brand Page","Паказаць Brand Image На Брэнд старонцы"
"Show Brand Description On Brand Page","Паказаць Марк Апісанне На марцы Старонкі"
"Show Brand Static Block On Brand Page","Паказаць Марка Static Block On Brand Page"
"Default Config","Па змаўчанні Config"