"Brand Information","Informació sobre la marca"
"Page Title","Títol de la pàgina"
"If empty, option label by store will be used.","Si està buit, s'utilitzarà l'etiqueta d'opció per botiga."
"Url Key","Clau d'URL"
"Brand Image","Imatge de marca"
"If empty, option visual image or default image from configuration will be used.","Si està buit, s'utilitzarà la imatge visual de l'opció o la imatge predeterminada de la configuració."
"Featured","Destacat"
"Enabled","Habilitat"
"Disabled","S'ha desactivat"
"If 'Enabled', this brand will be displayed on featured brand slider.","Si està habilitat, aquesta marca es mostrarà en el control lliscant de la marca."
"Short Description","Descripció breu"
"Description","Descripció"
"CMS Block","Bloc de CMS"
"Meta Information","Meta informació"
"Meta Title","Meta Títol"
"Meta Keywords","Paraules clau meta"
"Meta Description","Meta Descripció"
"Home","Inici"
"Go to Home Page","Anar a la pàgina d'inici"
"Brands","Marques"
"Brand option has been saved successfully.","L'opció de marca s'ha desat correctament."
"Attribute option does not exist.","L'opció d'atribut no existeix."
"-- Please select --","- Seleccioneu -"
"Toplink","Enllaç superior"
"Footerlink","Enllaç de peu de pàgina"
"Category","Categoria"
"Logo Only","Només per a logotip"
"Logo and Label","Logotip i etiqueta"
"-- Please Select --","- Seleccioneu -"
"There is no sample file for this entity.","No hi ha cap fitxer de mostra per a aquesta entitat."
"Sort Option","Opció d'ordenació"
"Setting","Configuració"
"Delete","Suprimeix"
"Choose a color","Tria un color"
"Upload a file","Penja un fitxer"
"Clear","Clar"
"All","Tots"
"label' 'char","Etiqueta ""char"""
"There is no brand available.","No hi ha marca disponible."
"Search a brand name","Cerqueu un nom de marca"
"Search","Cerca"
"Brand Configuration","Configuració de la marca"
"Save","Desa"
"Cancel","Cancel · lar"
"Shop by brand","Compreu per marca"
"General","General"
"Enable","Habilita"
"Brand Attribute","Atribut de marca"
"Brand Link Title","Títol de l'enllaç de marca"
"Show Brand Link In","Mostra l'enllaç de marca a"
"All Brands Page Settings","Configuració de la pàgina de totes les marques"
"Brand route","Ruta de la marca"
"Brand list name","Nom de la llista de marques"
"Display Option","Opció de visualització"
"Style Color","Color d'estil"
"Show Brand Description","Mostra la descripció de la marca"
"Brand Search Settings","Configuració de la Cerca de marca"
"Show Search Block","Mostra el bloc de cerca"
"Min chars","Caràcters mínims"
"Maximum Query Result","Resultat de consultes màxim"
"Visible Image","Imatge visible"
"Featured Brand Settings","Configuració de marca destacada"
"Show Featured Brands","Mostra marques destacades"
"Title","Títol"
"Display Information","Informació de visualització"
"Embedded Code","Codi incrustat"
"Default Image","Imatge predeterminada"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Imatge predeterminada per a la marca. Si està buit, la imatge predeterminada del marcador del producte s'utilitzarà. <br /> (jpg, jpeg, gif, png)"
"Default Block","Bloc per defecte"
"Show Brand Image On Brand Page","Mostra la imatge de marca a la pàgina de marca"
"Show Brand Description On Brand Page","Mostra la descripció de marca a la pàgina de marca"
"Show Brand Static Block On Brand Page","Mostra el bloc estàtic de la marca a la pàgina de marca"
"Default Config","Configuració per defecte"