"Brand Information","Informace o značce"
"Page Title","Název stránky"
"If empty, option label by store will be used.","Pokud je prázdný, použije se volitelná volba podle obchodu."
"Url Key","Klíč Url"
"Brand Image","Obrázek značky"
"If empty, option visual image or default image from configuration will be used.","Pokud je prázdný, použije se volba vizuální obrázek nebo výchozí obrázek z konfigurace."
"Featured","Doporučené"
"Enabled","Povoleno"
"Disabled","Zakázáno"
"If 'Enabled', this brand will be displayed on featured brand slider.","Je-li tato možnost zapnutá, bude tato značka zobrazena na jezdci označeném značkou."
"Short Description","Stručný popis"
"Description","Popis"
"CMS Block","CMS Block"
"Meta Information","Meta informace"
"Meta Title","Meta Title"
"Meta Keywords","Meta klíčová slova"
"Meta Description","Meta Popis"
"Home","domů"
"Go to Home Page","Jít na domovskou stránku"
"Brands","Značky"
"Brand option has been saved successfully.","Možnost značky byla úspěšně uložena."
"Attribute option does not exist.","Atribut atributu neexistuje."
"-- Please select --","-- Prosím vyberte --"
"Toplink","Toplink"
"Footerlink","Footerlink"
"Category","Kategorie"
"Logo Only","Pouze logo"
"Logo and Label","Logo a štítek"
"-- Please Select --","-- Prosím vyberte --"
"There is no sample file for this entity.","Pro tuto entitu neexistuje ukázkový soubor."
"Sort Option","Možnost řazení"
"Setting","Nastavení"
"Delete","Vymazat"
"Choose a color","Vyberte barvu"
"Upload a file","Nahrát soubor"
"Clear","Průhledná"
"All","Všechno"
"label' 'char","Popisek '' char"
"There is no brand available.","Není k dispozici žádná značka."
"Search a brand name","Vyhledání značky"
"Search","Vyhledávání"
"Brand Configuration","Konfigurace značky"
"Save","Uložit"
"Cancel","zrušení"
"Shop by brand","Nakupujte podle značky"
"General","Všeobecné"
"Enable","Umožnit"
"Brand Attribute","Atribut značky"
"Brand Link Title","Značka odkazu na značku"
"Show Brand Link In","Zobrazit odkaz na značku"
"All Brands Page Settings","Všechna nastavení stránek značky"
"Brand route","Značka trasa"
"Brand list name","Název seznamu značek"
"Display Option","Možnost zobrazení"
"Style Color","Barva stylu"
"Show Brand Description","Zobrazit popis značky"
"Brand Search Settings","Nastavení vyhledávání značek"
"Show Search Block","Zobrazit vyhledávací blok"
"Min chars","Min chars"
"Maximum Query Result","Maximální výsledek dotazu"
"Visible Image","Viditelný obraz"
"Featured Brand Settings","Vybrané nastavení značky"
"Show Featured Brands","Zobrazit doporučené značky"
"Title","Titul"
"Display Information","Zobrazení informací"
"Embedded Code","Vložený kód"
"Default Image","Výchozí obrázek"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Výchozí obrázek pro značku. Pokud je prázdný, použije se výchozí obrázek zástupce produktu.<br /> (jpg, jpeg, gif, png)"
"Default Block","Výchozí blok"
"Show Brand Image On Brand Page","Zobrazit značku značky na stránce značky"
"Show Brand Description On Brand Page","Zobrazit popis značky na stránce značky"
"Show Brand Static Block On Brand Page","Zobrazit statický blok značky na stránce značky"
"Default Config","Výchozí konfigurace"