"Brand Information","Informations sur la marque"
"Page Title","Titre de la page"
"If empty, option label by store will be used.","Si vide, l'étiquette d'option par magasin sera utilisée."
"Url Key","Clé Url"
"Brand Image","Image de marque"
"If empty, option visual image or default image from configuration will be used.","Si vide, l'image visuelle optionnelle ou l'image par défaut de la configuration seront utilisées."
"Featured","En vedette"
"Enabled","Activée"
"Disabled","désactivé"
"If 'Enabled', this brand will be displayed on featured brand slider.","Si 'Activé', cette marque sera affichée sur le curseur de marque en vedette."
"Short Description","brève description"
"Description","La description"
"CMS Block","Bloc CMS"
"Meta Information","Meta-information"
"Meta Title","Meta Title"
"Meta Keywords","Meta Mots-clés"
"Meta Description","Meta Description"
"Home","Accueil"
"Go to Home Page","Aller à la page d'accueil"
"Brands","Marques"
"Brand option has been saved successfully.","L'option Marque a été enregistrée avec succès."
"Attribute option does not exist.","L'option d'attribut n'existe pas."
"-- Please select --","- Veuillez sélectionner -"
"Toplink","Toplink"
"Footerlink","Footerlink"
"Category","Catégorie"
"Logo Only","Logo seulement"
"Logo and Label","Logo et étiquette"
"-- Please Select --","- Sélectionnez -"
"There is no sample file for this entity.","Il n'y a pas de fichier exemple pour cette entité."
"Sort Option","Option de tri"
"Setting","Réglage"
"Delete","Effacer"
"Choose a color","Choisissez une couleur"
"Upload a file","Télécharger un fichier"
"Clear","Clair"
"All","Tout"
"label' 'char","Label '' char"
"There is no brand available.","Il n'y a pas de marque disponible."
"Search a brand name","Rechercher un nom de marque"
"Search","Chercher"
"Brand Configuration","Configuration de la marque"
"Save","sauvegarder"
"Cancel","Annuler"
"Shop by brand","Magasinez par marque"
"General","Général"
"Enable","Activer"
"Brand Attribute","Attribut de marque"
"Brand Link Title","Titre du lien de marque"
"Show Brand Link In","Afficher le lien de marque dans"
"All Brands Page Settings","Tous les paramètres de la page Marques"
"Brand route","Route de la marque"
"Brand list name","Nom de la liste de marque"
"Display Option","Option d'affichage"
"Style Color","Style de couleur"
"Show Brand Description","Afficher la description de la marque"
"Brand Search Settings","Paramètres de recherche de marque"
"Show Search Block","Show Search Block"
"Min chars","Min chars"
"Maximum Query Result","Résultat maximal de la requête"
"Visible Image","Image visible"
"Featured Brand Settings","Paramètres de la marque en vedette"
"Show Featured Brands","Afficher les marques en vedette"
"Title","Titre"
"Display Information","Afficher l'information"
"Embedded Code","Code intégré"
"Default Image","Image par défaut"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Image par défaut pour la marque. Si vide, l'image par défaut de l'espace réservé du produit sera utilisée.<br /> (jpg, jpeg, gif, png)"
"Default Block","Bloc par défaut"
"Show Brand Image On Brand Page","Afficher l'image de marque sur la page de marque"
"Show Brand Description On Brand Page","Afficher la description de la marque sur la page de marque"
"Show Brand Static Block On Brand Page","Afficher le bloc statique de la marque sur la page de marque"
"Default Config","Configuration par défaut"