"Brand Information","Márka információ"
"Page Title","Lap cím"
"If empty, option label by store will be used.","Ha üres, az opció címkéjét tárolja."
"Url Key","Url kulcs"
"Brand Image","Márka kép"
"If empty, option visual image or default image from configuration will be used.","Ha üres, akkor az opció vizuális képét vagy az alapértelmezett képet a konfigurációból fogják használni."
"Featured","Kiemelt"
"Enabled","Bekapcsolt"
"Disabled","Tiltva"
"If 'Enabled', this brand will be displayed on featured brand slider.","Ha engedélyezve van, akkor ez a márka megjelenik a kiemelt márkájú csúszkában."
"Short Description","Rövid leírás"
"Description","Leírás"
"CMS Block","CMS blokk"
"Meta Information","Meta információk"
"Meta Title","Meta cím"
"Meta Keywords","Meta kulcsszavak"
"Meta Description","Meta leírása"
"Home","Otthon"
"Go to Home Page","Menj a főoldalra"
"Brands","Márkák"
"Brand option has been saved successfully.","A márka opció sikeresen elmentve."
"Attribute option does not exist.","Az attribútum opció nem létezik."
"-- Please select --","-- Kérlek, válassz --"
"Toplink","Felső"
"Footerlink","FooterLink"
"Category","Kategória"
"Logo Only","Csak Logo"
"Logo and Label","Logo és címke"
"-- Please Select --","-- Kérlek, válassz --"
"There is no sample file for this entity.","Nincs ilyen mintafájl ehhez az entitáshoz."
"Sort Option","Rendezési lehetőség"
"Setting","Beállítás"
"Delete","Töröl"
"Choose a color","Válasszon színt"
"Upload a file","Feltölteni egy fájlt"
"Clear","Egyértelmű"
"All","Minden"
"label' 'char","Címke '' char"
"There is no brand available.","Nincs márka elérhető."
"Search a brand name","Keressen egy márkanevet"
"Search","Keresés"
"Brand Configuration","Márkakonfiguráció"
"Save","Mentés"
"Cancel","Megszünteti"
"Shop by brand","Vásároljon márkát"
"General","Tábornok"
"Enable","Engedélyezze"
"Brand Attribute","Márka attribútum"
"Brand Link Title","Márkai link címe"
"Show Brand Link In","A Brand Link In megjelenítése"
"All Brands Page Settings","Minden márkaoldal beállítása"
"Brand route","Márka útvonal"
"Brand list name","Márkalista neve"
"Display Option","Megjelenítési lehetőség"
"Style Color","Stílus színe"
"Show Brand Description","A márkajelzés megjelenítése"
"Brand Search Settings","A márka keresési beállításai"
"Show Search Block","Keresési blokk megjelenítése"
"Min chars","Min"
"Maximum Query Result","Maximális lekérdezési eredmény"
"Visible Image","Látható kép"
"Featured Brand Settings","Kiemelt márkabeállítások"
"Show Featured Brands","Kiemelt márkák megjelenítése"
"Title","Cím"
"Display Information","Információk megjelenítése"
"Embedded Code","Beágyazott kód"
"Default Image","Alapértelmezett kép"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Alapértelmezett kép a márka számára. Ha üres, a termék helyőrző alapértelmezett képe kerül felhasználásra.<br /> (jpg, jpeg, gif, png)"
"Default Block","Alapértelmezett blokk"
"Show Brand Image On Brand Page","Márkakép megjelenítése a márkaoldalon"
"Show Brand Description On Brand Page","A márkajelzés megjelenítése a márkaoldalon"
"Show Brand Static Block On Brand Page","A márkájú statikus blokk megjelenítése a márkaoldalon"
"Default Config","Alapértelmezett konfiguráció"