"Brand Information","Informazioni sul marchio"
"Page Title","Titolo di pagina"
"If empty, option label by store will be used.","Se è vuota, verrà utilizzata l'etichetta di opzione per archivio."
"Url Key","Chiave Url"
"Brand Image","Immagine di marca"
"If empty, option visual image or default image from configuration will be used.","Se vuota, verrà utilizzata l'immagine visualizzata dall'opzione o l'immagine predefinita dalla configurazione."
"Featured","In primo piano"
"Enabled","Abilitato"
"Disabled","Disabilitato"
"If 'Enabled', this brand will be displayed on featured brand slider.","Se 'Abilitato', questa marca verrà visualizzata sul dispositivo di scorrimento di marca."
"Short Description","breve descrizione"
"Description","Descrizione"
"CMS Block","Blocco CMS"
"Meta Information","Meta Information"
"Meta Title","Titolo Meta"
"Meta Keywords","Parole chiave Meta"
"Meta Description","Meta Description"
"Home","Casa"
"Go to Home Page","Vai alla pagina principale"
"Brands","Marche"
"Brand option has been saved successfully.","L'opzione Brand è stata salvata correttamente."
"Attribute option does not exist.","L'opzione Attributo non esiste."
"-- Please select --","- Seleziona -"
"Toplink","toplink"
"Footerlink","Footerlink"
"Category","Categoria"
"Logo Only","Solo Logo"
"Logo and Label","Logo e etichetta"
"-- Please Select --","- Seleziona -"
"There is no sample file for this entity.","Non esiste un file di esempio per questa entità."
"Sort Option","Opzione di ordinamento"
"Setting","Ambientazione"
"Delete","Elimina"
"Choose a color","Scegli un colore"
"Upload a file","Caricare un file"
"Clear","Chiaro"
"All","Tutti"
"label' 'char","Etichetta '' char"
"There is no brand available.","Non c'è marca disponibile."
"Search a brand name","Cerca un nome di marca"
"Search","Ricerca"
"Brand Configuration","Configurazione del marchio"
"Save","Salvare"
"Cancel","Annulla"
"Shop by brand","Acquista per marca"
"General","Generale"
"Enable","Abilitare"
"Brand Attribute","Attributo di marca"
"Brand Link Title","Titolo del Brand Link"
"Show Brand Link In","Mostra link di marca"
"All Brands Page Settings","Tutte le impostazioni delle pagine di marca"
"Brand route","Percorso di marca"
"Brand list name","Nome elenco marca"
"Display Option","Opzione di visualizzazione"
"Style Color","Colore di stile"
"Show Brand Description","Mostra la descrizione del marchio"
"Brand Search Settings","Impostazioni di ricerca di marca"
"Show Search Block","Mostra il blocco di ricerca"
"Min chars","Min. Caratteri"
"Maximum Query Result","Risultato massimo della query"
"Visible Image","Immagine visibile"
"Featured Brand Settings","Impostazioni del brand in primo piano"
"Show Featured Brands","Mostra marche in primo piano"
"Title","Titolo"
"Display Information","Visualizza informazioni"
"Embedded Code","Codice incorporato"
"Default Image","Immagine predefinita"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Immagine predefinita per marca. Se vuota, verrà utilizzata l'immagine predefinita del segnaposto di prodotto.<br /> (jpg, jpeg, gif, png)"
"Default Block","Blocco predefinito"
"Show Brand Image On Brand Page","Mostra l'immagine di marca nella pagina di marca"
"Show Brand Description On Brand Page","Mostra marca Descrizione sulla pagina di marca"
"Show Brand Static Block On Brand Page","Mostra il blocco statico del marchio sulla pagina di marca"
"Default Config","Configurazione predefinita"