"Brand Information","브랜드 정보"
"Page Title","페이지 제목"
"If empty, option label by store will be used.","비어 있으면 상점 별 옵션 레이블이 사용됩니다."
"Url Key","URL 키"
"Brand Image","브랜드 이미지"
"If empty, option visual image or default image from configuration will be used.","비어있는 경우 구성의 옵션 시각적 이미지 또는 기본 이미지가 사용됩니다."
"Featured","추천"
"Enabled","사용"
"Disabled","장애인"
"If 'Enabled', this brand will be displayed on featured brand slider.","'사용'으로 설정하면이 브랜드가 추천 브랜드 슬라이더에 표시됩니다."
"Short Description","간단한 설명"
"Description","기술"
"CMS Block","CMS 차단"
"Meta Information","메타 정보"
"Meta Title","메타 타이틀"
"Meta Keywords","메타 키워드"
"Meta Description","메타 설명"
"Home","집"
"Go to Home Page","홈페이지로 이동"
"Brands","브랜드"
"Brand option has been saved successfully.","브랜드 옵션이 성공적으로 저장되었습니다."
"Attribute option does not exist.","속성 옵션이 없습니다."
"-- Please select --","-- 선택 해주세요 --"
"Toplink","상단 링크"
"Footerlink","Footerlink"
"Category","범주"
"Logo Only","로고 만"
"Logo and Label","로고 및 레이블"
"-- Please Select --","-- 선택 해주세요 --"
"There is no sample file for this entity.","이 엔티티에 대한 샘플 파일이 없습니다."
"Sort Option","정렬 옵션"
"Setting","환경"
"Delete","지우다"
"Choose a color","색상 선택"
"Upload a file","파일을 올리다"
"Clear","명확한"
"All","모든"
"label' 'char","라벨 ''char"
"There is no brand available.","사용할 수있는 브랜드가 없습니다."
"Search a brand name","브랜드 이름 검색"
"Search","수색"
"Brand Configuration","브랜드 구성"
"Save","구하다"
"Cancel","취소"
"Shop by brand","브랜드 별 쇼핑"
"General","일반"
"Enable","사용"
"Brand Attribute","브랜드 속성"
"Brand Link Title","브랜드 링크 제목"
"Show Brand Link In","브랜드 링크 표시"
"All Brands Page Settings","모든 브랜드 페이지 설정"
"Brand route","브랜드 경로"
"Brand list name","브랜드 목록 이름"
"Display Option","표시 옵션"
"Style Color","스타일 색상"
"Show Brand Description","브랜드 설명 표시"
"Brand Search Settings","브랜드 검색 설정"
"Show Search Block","검색 블록 표시"
"Min chars","최소 문자 수"
"Maximum Query Result","최대 쿼리 결과"
"Visible Image","보이는 이미지"
"Featured Brand Settings","주요 브랜드 설정"
"Show Featured Brands","추천 브랜드보기"
"Title","표제"
"Display Information","정보 표시"
"Embedded Code","임베디드 코드"
"Default Image","기본 이미지"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","브랜드의 기본 이미지. 비어 있으면 제품 자리 표시 자의 기본 이미지가 사용됩니다. 126_6_0_321 (jpg, jpeg, gif, png)"
"Default Block","기본 차단"
"Show Brand Image On Brand Page","브랜드 페이지에 브랜드 이미지 표시"
"Show Brand Description On Brand Page","브랜드 페이지에 브랜드 설명 표시"
"Show Brand Static Block On Brand Page","브랜드 페이지에 브랜드 정적 블록 표시"
"Default Config","기본 구성"