"Brand Information","Merkeinformasjon"
"Page Title","Side tittel"
"If empty, option label by store will be used.","Hvis tom, vil alternativetikett etter butikk bli brukt."
"Url Key","Url-nøkkel"
"Brand Image","Varemerke"
"If empty, option visual image or default image from configuration will be used.","Hvis det er tomt, vil alternativet visuelt bilde eller standardbilde fra konfigurasjon bli brukt."
"Featured","Utvalgt"
"Enabled","aktivert"
"Disabled","Funksjonshemmet"
"If 'Enabled', this brand will be displayed on featured brand slider.","Hvis ""Enabled"", vil dette merket bli vist på glidebryteren med merket merke."
"Short Description","Kort beskrivelse"
"Description","Beskrivelse"
"CMS Block","CMS-blokk"
"Meta Information","Meta Informasjon"
"Meta Title","Metatittel"
"Meta Keywords","Meta Nøkkelord"
"Meta Description","Meta Beskrivelse"
"Home","Hjem"
"Go to Home Page","Gå til hjemmesiden"
"Brands","Merker"
"Brand option has been saved successfully.","Brand-alternativet er lagret."
"Attribute option does not exist.","Attributtalternativet finnes ikke."
"-- Please select --","-- Vennligst velg --"
"Toplink","Toplink"
"Footerlink","FooterLink"
"Category","Kategori"
"Logo Only","Logo bare"
"Logo and Label","Logo og etikett"
"-- Please Select --","-- Vennligst velg --"
"There is no sample file for this entity.","Det finnes ingen prøvefil for denne enheten."
"Sort Option","Sorter Alternativ"
"Setting","Innstilling"
"Delete","Slett"
"Choose a color","Velg en farge"
"Upload a file","Last opp en fil"
"Clear","Klar"
"All","Alle"
"label' 'char","Etikett '' char"
"There is no brand available.","Det er ingen merke tilgjengelig."
"Search a brand name","Søk etter et merkenavn"
"Search","Søke"
"Brand Configuration","Merkekonfigurasjon"
"Save","Lagre"
"Cancel","Avbryt"
"Shop by brand","Handle etter merke"
"General","Generell"
"Enable","Aktiver"
"Brand Attribute","Brand Egenskap"
"Brand Link Title","Brand Link Tittel"
"Show Brand Link In","Vis merkevarekobling i"
"All Brands Page Settings","Alle merker sideinnstillinger"
"Brand route","Brand rute"
"Brand list name","Merkeliste"
"Display Option","Visningsalternativ"
"Style Color","Stilfarge"
"Show Brand Description","Vis merkebeskrivelse"
"Brand Search Settings","Brand Search Settings"
"Show Search Block","Vis søkeblokk"
"Min chars","Mine tegn"
"Maximum Query Result","Maksimalt spørresultat"
"Visible Image","Synlig bilde"
"Featured Brand Settings","Utvalgte merkeinnstillinger"
"Show Featured Brands","Vis utvalgte merker"
"Title","Tittel"
"Display Information","Vis informasjon"
"Embedded Code","Embedded Code"
"Default Image","Standardbilde"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Standardbilde for merkevare. Hvis tomt, vil standard plasseringsbilde for produktet plasseres.<br /> (jpg, jpeg, gif, png)"
"Default Block","Standardblokk"
"Show Brand Image On Brand Page","Vis merkebilde på merke side"
"Show Brand Description On Brand Page","Vis merkevarebeskrivelse på merke side"
"Show Brand Static Block On Brand Page","Vis varemerkeblokk på merke side"
"Default Config","Standard konfig"