"Brand Information","Informação da Marca"
"Page Title","Título da página"
"If empty, option label by store will be used.","Se estiver vazio, a etiqueta da opção por loja será usada."
"Url Key","Url Key"
"Brand Image","Imagem de marca"
"If empty, option visual image or default image from configuration will be used.","Se estiver vazio, a imagem visual da opção ou a imagem padrão da configuração serão usadas."
"Featured","Destaque"
"Enabled","ativado"
"Disabled","Desativado"
"If 'Enabled', this brand will be displayed on featured brand slider.","Se 'Ativado', esta marca será exibida no controle deslizante da marca destacada."
"Short Description","Pequena descrição"
"Description","Descrição"
"CMS Block","Bloco CMS"
"Meta Information","Meta Informação"
"Meta Title","Meta Title"
"Meta Keywords","Meta Palavras-chave"
"Meta Description","Meta Descrição"
"Home","Casa"
"Go to Home Page","Vá para a página inicial"
"Brands","Marcas"
"Brand option has been saved successfully.","A opção Marca foi salva com sucesso."
"Attribute option does not exist.","A opção de atributo não existe."
"-- Please select --","-- Por favor selecione --"
"Toplink","Toplink"
"Footerlink","Footerlink"
"Category","Categoria"
"Logo Only","Somente logotipo"
"Logo and Label","Logotipo e etiqueta"
"-- Please Select --","-- Por favor selecione --"
"There is no sample file for this entity.","Não existe um arquivo de exemplo para essa entidade."
"Sort Option","Opção de classificação"
"Setting","Configuração"
"Delete","Excluir"
"Choose a color","Escolha uma cor"
"Upload a file","Enviar um arquivo"
"Clear","Claro"
"All","Todos"
"label' 'char","Etiqueta '' char"
"There is no brand available.","Não há marca disponível."
"Search a brand name","Procure uma marca"
"Search","Pesquisa"
"Brand Configuration","Configuração da marca"
"Save","Salve "
"Cancel","Cancelar"
"Shop by brand","Loja por marca"
"General","Geral"
"Enable","Habilitar"
"Brand Attribute","Atributo de marca"
"Brand Link Title","Marca Título do link"
"Show Brand Link In","Mostrar Brand Link In"
"All Brands Page Settings","Todas as Configurações da Página de Marcas"
"Brand route","Roteamento da marca"
"Brand list name","Nome da lista de marcas"
"Display Option","Opção de exibição"
"Style Color","Cor de estilo"
"Show Brand Description","Mostrar descrição da marca"
"Brand Search Settings","Configurações de pesquisa de marca"
"Show Search Block","Mostrar bloqueio de pesquisa"
"Min chars","Min chars"
"Maximum Query Result","Resultado Máximo de Consulta"
"Visible Image","Imagem visível"
"Featured Brand Settings","Configurações de marca em destaque"
"Show Featured Brands","Mostrar marcas em destaque"
"Title","Título"
"Display Information","Exibir Informações"
"Embedded Code","Código incorporado"
"Default Image","Imagem Padrão"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Imagem padrão para Marca. Se estiver vazio, a imagem padrão do espaço reservado do produto será usada.<br /> (jpg, jpeg, gif, png)"
"Default Block","Bloco Padrão"
"Show Brand Image On Brand Page","Mostrar imagem da marca na página da marca"
"Show Brand Description On Brand Page","Mostrar descrição da marca na página da marca"
"Show Brand Static Block On Brand Page","Mostrar bloco estático da marca na página da marca"
"Default Config","Configuração padrão"