"Brand Information","Информације о бренду"
"Page Title","Наслов странице"
"If empty, option label by store will be used.","Ако је празна, биће коришћена ознака опције по продавници."
"Url Key","Тастер Урл"
"Brand Image","Слика бренда"
"If empty, option visual image or default image from configuration will be used.","Ако се користи празна, визуелна слика опције или подразумевана слика из конфигурације."
"Featured","Изабран"
"Enabled","Омогућено"
"Disabled","Онемогућено"
"If 'Enabled', this brand will be displayed on featured brand slider.","Ако је 'Енаблед', овај бренд ће бити приказан на клизачу маркираних марки."
"Short Description","Кратак опис"
"Description","Опис"
"CMS Block","ЦМС блок"
"Meta Information","Мета информација"
"Meta Title","Мета Наслов"
"Meta Keywords","Мета Кључне речи"
"Meta Description","Мета опис"
"Home","Кућа"
"Go to Home Page","Иди на почетну страницу"
"Brands","Брендови"
"Brand option has been saved successfully.","Опција бренда је успешно сачувана."
"Attribute option does not exist.","Опција атрибута не постоји."
"-- Please select --","-- Молимо изаберите --"
"Toplink","Топлинк"
"Footerlink","Фоотерлинк"
"Category","Категорија"
"Logo Only","Само Лого"
"Logo and Label","Лого и ознака"
"-- Please Select --","-- Молимо изаберите --"
"There is no sample file for this entity.","За овај ентитет нема датотеке узорка."
"Sort Option","Сортирај опцију"
"Setting","Подешавање"
"Delete","Избриши"
"Choose a color","Изаберите боју"
"Upload a file","Отпремите датотеку"
"Clear","Јасно"
"All","Све"
"label' 'char","Ознака '' цхар"
"There is no brand available.","Нема доступног бренда."
"Search a brand name","Потражите бренд"
"Search","Претрага"
"Brand Configuration","Конфигурација бренда"
"Save","сачувати"
"Cancel","Отказати"
"Shop by brand","Купујте по бренду"
"General","Генерал"
"Enable","Омогући"
"Brand Attribute","Атрибут бренда"
"Brand Link Title","Бранд Линк Титле"
"Show Brand Link In","Прикажи Бранд Линк Ин"
"All Brands Page Settings","Све поставке страница брендова"
"Brand route","Пут бренда"
"Brand list name","Име списка марки"
"Display Option","Опција приказа"
"Style Color","Стиле Цолор"
"Show Brand Description","Покажите Бранд Десцриптион"
"Brand Search Settings","Подешавања претраге марке"
"Show Search Block","Прикажи поље за претраживање"
"Min chars","Мин чари"
"Maximum Query Result","Максимални резултат упита"
"Visible Image","Видљива слика"
"Featured Brand Settings","Истакнуте поставке бренда"
"Show Featured Brands","Прикажи истакнуте брендове"
"Title","Наслов"
"Display Information","Приказ информација"
"Embedded Code","Уграђени код"
"Default Image","Дефаулт Имаге"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Подразумевана слика за бренд. Ако је празно, подразумевана слика ће бити кориштена ..<br /> (јпг, јпег, гиф, пнг)"
"Default Block","Дефаулт Блоцк"
"Show Brand Image On Brand Page","Прикажи слику бренда на страни бренда"
"Show Brand Description On Brand Page","Покажите ознаку бренда на страни бренда"
"Show Brand Static Block On Brand Page","Покажите бренд статички блок на страници бренда"
"Default Config","Подразумевана конфигурација"