"Brand Information","Marka Bilgisi"
"Page Title","Sayfa başlığı"
"If empty, option label by store will be used.","Boş ise, mağazaya göre seçenek etiketi kullanılacaktır."
"Url Key","Url Anahtarı"
"Brand Image","Marka imajı"
"If empty, option visual image or default image from configuration will be used.","Boş ise, seçenek görsel imaj veya yapılandırmadan varsayılan görüntü kullanılacaktır."
"Featured","Öne çıkan"
"Enabled","Etkin"
"Disabled","engelli"
"If 'Enabled', this brand will be displayed on featured brand slider.","""Etkinleştirildi"" ise, bu marka özellikli marka kaydırıcısında görüntülenir."
"Short Description","Kısa Açıklama"
"Description","Açıklama"
"CMS Block","CMS Bloğu"
"Meta Information","Meta Bilgisi"
"Meta Title","Meta Başlığı"
"Meta Keywords","anahtar Kelimeler"
"Meta Description","Meta Açıklaması"
"Home","Ev"
"Go to Home Page","Ana sayfaya git"
"Brands","Markalar"
"Brand option has been saved successfully.","Marka seçeneği başarıyla kaydedildi."
"Attribute option does not exist.","Özellik seçeneği mevcut değil."
"-- Please select --","-- Lütfen seçin --"
"Toplink","Toplink"
"Footerlink","FooterLink"
"Category","Kategori"
"Logo Only","Yalnızca Logo"
"Logo and Label","Logo ve Etiket"
"-- Please Select --","-- Lütfen seçin --"
"There is no sample file for this entity.","Bu varlık için örnek dosyası yok."
"Sort Option","Sıralama Seçeneği"
"Setting","Ayar"
"Delete","silmek"
"Choose a color","Bir renk seçin"
"Upload a file","Bir dosya yükle"
"Clear","Açık"
"All","Herşey"
"label' 'char","Etiket '' char"
"There is no brand available.","Kullanılabilecek bir marka yok."
"Search a brand name","Bir marka adı ara"
"Search","Arama"
"Brand Configuration","Marka Yapılandırması"
"Save","Kayıt etmek"
"Cancel","İptal etmek"
"Shop by brand","Markaya göre alışveriş"
"General","Genel"
"Enable","etkinleştirme"
"Brand Attribute","Marka Öznitelik"
"Brand Link Title","Marka Bağlantı Başlığı"
"Show Brand Link In","Marka Linkini Göster"
"All Brands Page Settings","Tüm Markalar Sayfa Ayarları"
"Brand route","Marka rota"
"Brand list name","Marka listesi adı"
"Display Option","Görüntüleme Seçeneği"
"Style Color","Stil Rengi"
"Show Brand Description","Marka Açıklamasını Göster"
"Brand Search Settings","Marka Arama Ayarları"
"Show Search Block","Arama Bloğunu Göster"
"Min chars","En az karakter"
"Maximum Query Result","Maksimum Sorgu Sonuç"
"Visible Image","Görülebilir Resim"
"Featured Brand Settings","Öne Çıkan Marka Ayarları"
"Show Featured Brands","Gösterilen Seçkin Markalar"
"Title","Başlık"
"Display Information","Görüntü Bilgisi"
"Embedded Code","Gömülü Kod"
"Default Image","Varsayılan Resim"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Marka için Varsayılan Resim. Boş ise, ürün yer tutucu varsayılan resim kullanılacak.<br /> (jpg, jpeg, gif, png)"
"Default Block","Varsayılan Blok"
"Show Brand Image On Brand Page","Marka Sayfasını Marka Sayfasında Göster"
"Show Brand Description On Brand Page","Marka Açıklamasını Marka Sayfasında Göster"
"Show Brand Static Block On Brand Page","Marka Sayfasında Marka Statik Bloğunu Göster"
"Default Config","Varsayılan Yapılandırma"