"Brand Information","Thông tin thương hiệu"
"Page Title","Tiêu đề Trang"
"If empty, option label by store will be used.","Nếu trống, tùy chọn nhãn của cửa hàng sẽ được sử dụng."
"Url Key","Khóa Url"
"Brand Image","Hình ảnh thương hiệu"
"If empty, option visual image or default image from configuration will be used.","Nếu trống, tùy chọn hình ảnh thị giác hoặc hình ảnh mặc định từ cấu hình sẽ được sử dụng."
"Featured","Đặc sắc"
"Enabled","Đã bật"
"Disabled","Tàn tật"
"If 'Enabled', this brand will be displayed on featured brand slider.","Nếu 'Đã bật', thương hiệu này sẽ được hiển thị trên thanh trượt thương hiệu nổi bật."
"Short Description","Mô tả ngắn"
"Description","Sự miêu tả"
"CMS Block","CMS Block"
"Meta Information","Thông tin về Meta"
"Meta Title","Tiêu đề Meta"
"Meta Keywords","Từ khoá Meta"
"Meta Description","Mô tả Meta"
"Home","Nhà"
"Go to Home Page","Đi tới trang chủ"
"Brands","Nhãn hiệu"
"Brand option has been saved successfully.","Tùy chọn thương hiệu đã được lưu thành công."
"Attribute option does not exist.","Tuỳ chọn Thuộc tính không tồn tại."
"-- Please select --","-- Vui lòng chọn --"
"Toplink","Toplink"
"Footerlink","Footerlink"
"Category","Thể loại"
"Logo Only","Chỉ Logo"
"Logo and Label","Logo và Nhãn"
"-- Please Select --","-- Vui lòng chọn --"
"There is no sample file for this entity.","Không có tệp mẫu cho đối tượng này."
"Sort Option","Tùy chọn Phân loại"
"Setting","Cài đặt"
"Delete","Xóa bỏ"
"Choose a color","Chọn một màu"
"Upload a file","Tải lên một tài liệu"
"Clear","Trong sáng"
"All","Tất cả các"
"label' 'char","Nhãn '' char"
"There is no brand available.","Không có thương hiệu."
"Search a brand name","Tìm kiếm thương hiệu"
"Search","Tìm kiếm"
"Brand Configuration","Cấu hình Thương hiệu"
"Save","Tiết kiệm"
"Cancel","Hủy"
"Shop by brand","Cửa hàng theo nhãn hiệu"
"General","Chung"
"Enable","Bật"
"Brand Attribute","Thuộc tính thương hiệu"
"Brand Link Title","Tiêu đề liên kết thương hiệu"
"Show Brand Link In","Hiển thị liên kết thương hiệu"
"All Brands Page Settings","Tất cả Cài đặt Trang Thương hiệu"
"Brand route","Tuyến thương hiệu"
"Brand list name","Tên danh sách thương hiệu"
"Display Option","Tùy chọn hiển thị"
"Style Color","Màu kiểu"
"Show Brand Description","Hiển thị mô tả thương hiệu"
"Brand Search Settings","Cài đặt Tìm kiếm Nhãn hiệu"
"Show Search Block","Hiển thị Khối tìm kiếm"
"Min chars","Chars tối thiểu"
"Maximum Query Result","Kết quả Truy vấn Tối đa"
"Visible Image","Hình ảnh Hiển thị"
"Featured Brand Settings","Cài đặt thương hiệu nổi bật"
"Show Featured Brands","Hiển thị thương hiệu nổi bật"
"Title","Chức vụ"
"Display Information","Hiển thị thông tin"
"Embedded Code","Mã nhúng"
"Default Image","Hình ảnh mặc định"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Hình ảnh mặc định cho Brand. Nếu trống, hình ảnh mặc định của bộ giữ sản phẩm sẽ được sử dụng.<br /> (jpg, jpeg, gif, png)"
"Default Block","Khối Mặc định"
"Show Brand Image On Brand Page","Hiển thị hình ảnh thương hiệu trên trang thương hiệu"
"Show Brand Description On Brand Page","Hiển thị mô tả về thương hiệu trên trang thương hiệu"
"Show Brand Static Block On Brand Page","Hiển thị khối thương hiệu tĩnh trên trang thương hiệu"
"Default Config","Cấu hình mặc định"